428,904,1037,
112,614,633,
635,685,1313,
236,616,746,
85,310,374,
120,389,452,
33,896,917,
243,609,697,
347,835,1034,
525,836,1336,
489,918,1258,
177,908,961,
102,575,608,
463,755,1107,
44,865,886,
272,367,417,
100,546,567,
566,918,1478,
158,609,710,
939,949,1589,
421,698,907,
635,922,1330,
228,639,835,
263,967,1171,
593,925,1379,
818,973,1352,
531,611,702,
125,232,304,
418,658,679,
96,646,726,
336,356,588,
88,837,864,
465,724,1108,
666,744,1392,
872,919,1507,
802,855,1179,
768,919,967,
310,446,676,
373,548,853,
97,201,249,
459,956,1229,
360,702,1022,
435,691,812,
161,845,893,
124,425,445,
139,713,722,
185,619,643,
551,955,1326,
764,800,1421,
168,557,713,
815,886,1254,
485,693,730,
623,640,837,
256,469,558,
486,674,1007,
47,719,746,
108,312,371,
381,783,1058,
464,923,1023,
399,528,543,
506,650,1127,
43,603,608,
445,872,1129,
175,362,405,
336,469,510,
240,350,461,
208,889,1043,
127,670,682,
631,691,1106,
61,173,175,
330,526,851,
376,619,650,
452,923,1037,
429,711,1087,
176,517,597,
55,373,385,
252,620,863,
93,509,597,
575,979,1407,
493,887,921,
732,900,1061,
335,833,1045,
364,873,934,
117,282,340,
528,876,942,
449,558,951,
106,467,511,
66,855,918,
583,618,993,
570,921,1345,
563,634,1037,
617,825,1014,
495,790,904,
63,718,733,
279,373,541,
271,755,934,
166,889,1048,
686,710,939,
685,855,1008,
352,556,867,
80,895,914,
535,842,1126,
881,910,1628,
208,899,910,
309,736,1031,
854,997,1193,
77,734,764,
457,954,1082,
181,314,354,
663,886,1317,
691,995,1111,
325,349,432,
624,811,1033,
709,809,1056,
128,746,747,
198,697,877,
404,957,1164,
405,993,1170,
55,276,327,
705,883,1074,
184,584,656,
37,629,642,
346,379,580,
45,668,712,
65,848,860,
119,150,157,
288,336,591,
182,811,905,
343,841,1049,
550,892,1329,
472,641,1088,
403,781,1102,
585,964,1306,
559,727,1208,
186,798,809,
98,630,688,
334,675,892,
400,598,864,
686,699,925,
193,992,1136,
12,905,913,
736,909,1091,
661,900,948,
810,989,1174,
781,938,1681,
79,200,265,
39,472,492,
160,383,429,
817,923,1678,
432,974,1044,
361,626,668,
177,817,972,
14,870,878,
129,648,775,
215,862,870,
932,970,1183,
642,725,1200,
617,816,1068,
144,650,663,
394,742,982,
863,992,1045,
728,986,1408,
487,747,1010,
230,318,341,
179,247,351,
289,851,1082,
785,882,1136,
29,366,391,
751,852,1062,
119,561,644,
266,714,806,
615,977,1051,
278,793,878,
542,562,813,
530,535,807,
94,502,566,
124,692,773,
255,604,674,
507,997,1364,
33,352,361,
44,815,857,
705,895,1482,
284,328,457,
39,846,866,
65,764,773,
918,933,1337,
417,826,865,
235,468,643,
134,963,1019,
121,133,216,
87,684,716,
260,405,588,
288,606,791,
198,516,664,
814,857,1279,
399,916,1233,
479,731,1168,
276,610,813,
76,811,816,
376,693,925,
115,903,984,
792,835,850,
586,706,762,
658,809,1090,
559,802,1189,
322,609,920,
554,706,1210,
67,502,525,
231,413,555,
679,772,1408,
229,535,733,
645,822,1223,
787,957,1109,
146,802,897,
28,406,409,
583,653,805,
387,982,1035,
747,844,1195,
279,676,826,
91,893,924,
470,919,1150,
251,648,673,
205,424,571,
131,171,225,
201,778,895,
675,887,1416,
442,973,1012,
34,622,649,
586,839,1307,
175,700,765,
468,653,1023,
767,951,1582,
524,912,1229,
634,727,1058,
110,284,342,
283,428,640,
962,974,1015,
354,732,898,
313,901,928,
640,783,1019,
319,985,1278,
174,742,905,
377,519,651,
316,384,489,
144,783,909,
323,618,877,
334,861,1004,
472,784,1076,
327,821,862,
354,547,801,
143,789,849,
554,680,707,
512,564,778,
195,539,585,
75,598,644,
195,660,734,
420,744,800,
520,795,1021,
386,716,719,
857,891,1055,
291,827,889,
856,974,1386,
159,276,364,
851,897,947,
723,882,1312,
45,413,428,
318,337,390,
223,489,587,
200,975,1127,
94,860,941,
376,797,972,
16,943,957,
86,489,569,
339,753,1004,
428,987,1067,
25,213,218,
139,193,287,
447,599,933,
349,581,760,
173,459,486,
221,353,452,
829,916,946,
113,168,202,
239,733,943,
481,756,853,
278,447,484,
78,651,685,
770,828,1505,
386,856,954,
200,944,1121,
489,831,1132,
163,212,339,
653,960,1417,
259,271,321,
521,692,1092,
658,985,1077,
377,499,630,
158,401,419,
142,846,935,
651,788,1067,
200,476,581,
328,420,573,
475,741,959,
496,606,859,
888,922,1045,
165,725,864,
151,566,664,
504,616,1117,
696,863,1034,
3,206,208,
900,942,1236,
145,524,559,
211,581,721,
371,473,812,
906,987,1222,
204,859,966,
184,430,591,
542,698,712,
413,550,919,
98,192,285,
539,678,713,
247,936,1170,
776,890,1363,
273,737,929,
950,953,1782,
534,588,894,
380,405,732,
2,538,539,
32,879,898,
291,697,774,
916,934,1209,
125,826,878,
22,615,633,
207,998,1057,
731,807,1178,
102,511,608,
589,603,1174,
245,815,909,
380,413,569,
204,786,948,
517,921,1161,
421,833,1038,
418,753,852,
147,911,972,
569,878,1379,
40,496,509,
91,673,724,
816,842,1509,
119,746,793,
247,809,973,
438,998,1057,
8,617,619,
203,286,298,
31,724,753,
845,925,1648,
313,566,606,
232,573,721,
31,110,137,
323,945,1218,
265,412,428,
161,236,379,
417,565,901,
30,436,462,
20,153,164,
70,633,641,
268,838,932,
82,893,968,
400,615,631,
235,560,666,
413,691,1040,
199,345,363,
41,215,244,
191,511,549,
389,523,662,
17,441,449,
45,59,84,
743,953,964,
196,637,647,
283,580,731,
478,979,1322,
476,775,827,
16,197,206,
71,990,1017,
79,378,399,
35,394,423,
15,637,647,
178,231,276,
299,376,437,
186,918,936,
81,665,736,
52,690,738,
303,572,826,
117,558,659,
215,249,273,
287,301,331,
593,814,1139,
953,983,1859,
281,497,545,
12,566,573,
32,916,926,
